_id,tahun,bulan,mode,jarak,ongkir,belanja,total biaya,driver id,driver name,driver gender
1,2019,3,BIKE,"5,55",2500,0,2500,90,Rusman Situmorang,L
2,2019,3,FOOD,"7,08",9000,82000,91000,77,Lukman Ganep Januar M.Ak,L
3,2019,3,SHOP,"4,02",5000,58500,63500,75,Atma Dasa Uwais,L
4,2019,3,FOOD,"8,94",12000,72000,84000,82,Latif Marbun,L
5,2019,3,CAR,"7,93",14400,0,14400,109,Maimunah Pudjiastuti,P
6,2019,3,BIKE,"7,35",3500,0,3500,76,Paiman Wacana S.Kom,L
7,2019,3,BIKE,"8,24",4000,0,4000,85,Jarwadi Nababan,L
8,2019,3,CAR,"5,97",10800,0,10800,108,Ana Maimunah Pertiwi S.H.,P
9,2019,3,CAR,"10,89",21600,0,21600,108,Ana Maimunah Pertiwi S.H.,P
10,2019,3,BIKE,"4,1",1500,0,1500,86,Daliono Firgantoro,L
11,2019,3,BIKE,"14,47",7500,0,7500,85,Jarwadi Nababan,L
12,2019,3,SHOP,"9,65",13000,31000,44000,77,Lukman Ganep Januar M.Ak,L
13,2019,3,SHOP,"4,85",6000,36000,42000,84,Lukita Napitupulu,L
14,2019,3,BIKE,"11,3",5500,0,5500,86,Daliono Firgantoro,L
15,2019,3,CAR,"3,79",6000,0,6000,108,Ana Maimunah Pertiwi S.H.,P
16,2019,3,BIKE,"2,95",1000,0,1000,104,Faizah Shania Usamah S.T.,P
17,2019,3,CAR,"10,02",19200,0,19200,109,Maimunah Pudjiastuti,P
18,2019,3,BIKE,"2,44",1000,0,1000,81,Manah Sirait,L
19,2019,3,FOOD,"5,97",7000,71500,78500,101,Kartika Winarsih S.Ked,P
20,2019,3,CAR,"9,95",19200,0,19200,108,Ana Maimunah Pertiwi S.H.,P
21,2019,3,SHOP,"5,7",7000,69500,76500,85,Jarwadi Nababan,L
22,2019,3,BIKE,"7,08",3500,0,3500,83,Gaiman Hidayat S.Kom,L
23,2019,3,BIKE,"4,98",2000,0,2000,101,Kartika Winarsih S.Ked,P
24,2019,3,CAR,"4,58",7200,0,7200,109,Maimunah Pudjiastuti,P
25,2019,3,BIKE,"5,89",2500,0,2500,81,Manah Sirait,L
26,2019,3,FOOD,"5,22",6000,69000,75000,103,Eka Tira Haryanti,P
27,2019,3,CAR,"9,99",19200,0,19200,108,Ana Maimunah Pertiwi S.H.,P
28,2019,3,CAR,"3,65",6000,0,6000,97,Waluyo Setiawan,L
29,2019,3,FOOD,"7,74",10000,49000,59000,85,Jarwadi Nababan,L
30,2019,3,BIKE,"3,83",1500,0,1500,86,Daliono Firgantoro,L
31,2019,3,CAR,"7,16",13200,0,13200,97,Waluyo Setiawan,L
32,2019,3,CAR,"3,39",4800,0,4800,96,Bakda Gunawan,L
33,2019,3,CAR,"3,2",4800,0,4800,95,Cengkal Marpaung,L
34,2019,3,FOOD,"5,99",7000,28500,35500,76,Paiman Wacana S.Kom,L
35,2019,3,FOOD,"4,75",6000,80000,86000,83,Gaiman Hidayat S.Kom,L
36,2019,3,BIKE,"5,18",2500,0,2500,86,Daliono Firgantoro,L
37,2019,3,BIKE,"4,76",2000,0,2000,92,Danu Januar,L
38,2019,3,FOOD,"6,58",8000,54000,62000,90,Rusman Situmorang,L
39,2019,2,BIKE,"3,62",1500,0,1500,90,Rusman Situmorang,L
40,2019,2,BIKE,"6,01",3000,0,3000,76,Paiman Wacana S.Kom,L
41,2019,2,SHOP,"10,6",14000,52500,66500,102,Intan Nasyiah,P
42,2019,2,BIKE,"12,65",6500,0,6500,90,Rusman Situmorang,L
43,2019,2,FOOD,"10,84",15000,53500,68500,81,Manah Sirait,L
44,2019,2,FOOD,"6,27",8000,35000,43000,89,Dirja Mansur,L
45,2019,2,FOOD,"4,06",5000,63500,68500,106,Yunita Laras Pratiwi,P
46,2019,2,FOOD,"10,59",14000,32500,46500,102,Intan Nasyiah,P
47,2019,2,CAR,"8,51",16800,0,16800,96,Bakda Gunawan,L
48,2019,2,FOOD,"4,16",5000,94500,99500,79,Jabal Prasetya S.Psi,L
49,2019,2,BIKE,"7,39",3500,0,3500,87,Artanto Eman Wacana S.I.Kom,L
50,2019,2,BIKE,"8,23",4000,0,4000,102,Intan Nasyiah,P
51,2019,2,BIKE,"8,13",4000,0,4000,106,Yunita Laras Pratiwi,P
52,2019,2,BIKE,"7,28",3500,0,3500,105,Restu Yuniar S.Pt,P
53,2019,2,BIKE,"6,04",3000,0,3000,78,Maryadi Natsir,L
54,2019,2,BIKE,"11,75",6000,0,6000,78,Maryadi Natsir,L
55,2019,2,SHOP,"3,07",3000,98500,101500,82,Latif Marbun,L
56,2019,2,FOOD,"3,17",3000,64000,67000,76,Paiman Wacana S.Kom,L
